EQUIPE,RODADA,JOGADOR,POSIÇÃO,PONTUAÇÃO,CAPITÃO,TIME
Unichampions,RODADA 10,SOTELDO,ATACANTE,2.00,NÃO,SANTOS
Unichampions,RODADA 10,DOMÈNEC TORRENT,TÉCNICO,2.57,NÃO,FLAMENGO
Unichampions,RODADA 9,TIAGO VOLPI,GOLEIRO,-1.10,NÃO,SÃO PAULO
Unichampions,RODADA 9,UENDEL,LATERAL,0.00,NÃO,INTERNACIONAL
Unichampions,RODADA 9,VICTOR LUIS,LATERAL,12.60,NÃO,BOTAFOGO
Unichampions,RODADA 9,DANILO AVELAR,ZAGUEIRO,-5.00,NÃO,CORINTHIANS
Unichampions,RODADA 9,SABINO,ZAGUEIRO,5.10,NÃO,CORITIBA
Unichampions,RODADA 9,EVERTON,MEIA,8.00,NÃO,GRÊMIO
Unichampions,RODADA 9,BOSCHILIA,MEIA,15.20,NÃO,INTERNACIONAL
Unichampions,RODADA 9,EDENÍLSON,MEIA,4.80,NÃO,INTERNACIONAL
Unichampions,RODADA 9,CANO,ATACANTE,15.20,SIM,VASCO
Unichampions,RODADA 9,SOTELDO,ATACANTE,5.20,NÃO,SANTOS
Unichampions,RODADA 9,ROBSON,ATACANTE,9.60,NÃO,CORITIBA
Unichampions,RODADA 9,FERNANDO DINIZ,TÉCNICO,1.96,NÃO,SÃO PAULO
Unichampions,RODADA 8,WEVERTON,GOLEIRO,1.10,NÃO,PALMEIRAS
Unichampions,RODADA 8,ISLA,LATERAL,-0.70,NÃO,FLAMENGO
Unichampions,RODADA 8,FAGNER,LATERAL,9.40,NÃO,CORINTHIANS
Unichampions,RODADA 8,LUCCAS CLARO,ZAGUEIRO,-0.30,NÃO,FLUMINENSE
Unichampions,RODADA 8,VITOR HUGO,ZAGUEIRO,-0.20,SIM,PALMEIRAS
Unichampions,RODADA 8,CANTILLO,MEIA,-2.80,NÃO,CORINTHIANS
Unichampions,RODADA 8,ZÉ RAFAEL,MEIA,6.90,NÃO,PALMEIRAS
Unichampions,RODADA 8,BOSCHILIA,MEIA,0.90,NÃO,INTERNACIONAL
Unichampions,RODADA 8,EVERTON RIBEIRO,MEIA,6.90,NÃO,FLAMENGO
Unichampions,RODADA 8,PABLO,ATACANTE,0.00,NÃO,SÃO PAULO
Unichampions,RODADA 8,DIEGO SOUZA,ATACANTE,-3.00,NÃO,GRÊMIO
Unichampions,RODADA 8,EDUARDO COUDET,TÉCNICO,2.93,NÃO,INTERNACIONAL
Unichampions,RODADA 7,WEVERTON,GOLEIRO,-2.40,NÃO,PALMEIRAS
Unichampions,RODADA 7,TINGA,LATERAL,0.00,NÃO,FORTALEZA
Unichampions,RODADA 7,VIÑA,LATERAL,3.80,NÃO,PALMEIRAS
Unichampions,RODADA 7,LUIZ OTÁVIO,ZAGUEIRO,4.00,NÃO,CEARÁ
Unichampions,RODADA 7,GIL,ZAGUEIRO,1.20,NÃO,CORINTHIANS
Unichampions,RODADA 7,GABRIEL MENINO,MEIA,2.00,NÃO,PALMEIRAS
Unichampions,RODADA 7,NENÊ,MEIA,5.70,NÃO,FLUMINENSE
Unichampions,RODADA 7,DODI,MEIA,4.90,NÃO,FLUMINENSE
Unichampions,RODADA 7,BRUNO NAZÁRIO,MEIA,0.30,NÃO,BOTAFOGO
Unichampions,RODADA 7,SOTELDO,ATACANTE,18.40,SIM,SANTOS
Unichampions,RODADA 7,JÔ,ATACANTE,1.50,NÃO,CORINTHIANS
Unichampions,RODADA 7,CUCA,TÉCNICO,4.04,NÃO,SANTOS
Unichampions,RODADA 6,WEVERTON,GOLEIRO,-3.00,NÃO,PALMEIRAS
Unichampions,RODADA 6,VIÑA,LATERAL,0.00,NÃO,PALMEIRAS
Unichampions,RODADA 6,TINGA,LATERAL,7.10,NÃO,FORTALEZA
Unichampions,RODADA 6,GIL,ZAGUEIRO,-0.50,NÃO,CORINTHIANS
Unichampions,RODADA 6,LUIZ OTÁVIO,ZAGUEIRO,0.00,NÃO,CEARÁ
Unichampions,RODADA 6,GABRIEL MENINO,MEIA,-0.60,NÃO,PALMEIRAS
Unichampions,RODADA 6,DODI,MEIA,13.30,NÃO,FLUMINENSE
Unichampions,RODADA 6,BRUNO NAZÁRIO,MEIA,0.30,NÃO,BOTAFOGO
Unichampions,RODADA 6,NENÊ,MEIA,2.90,NÃO,FLUMINENSE
Unichampions,RODADA 6,SOTELDO,ATACANTE,-0.60,SIM,SANTOS
Unichampions,RODADA 6,JÔ,ATACANTE,1.20,NÃO,CORINTHIANS
Unichampions,RODADA 6,CUCA,TÉCNICO,2.25,NÃO,SANTOS
Unichampions,RODADA 5,ANDERSON,GOLEIRO,0.00,NÃO,BAHIA
Unichampions,RODADA 5,FAGNER,LATERAL,3.70,NÃO,CORINTHIANS
Unichampions,RODADA 5,NINO PARAÍBA,LATERAL,0.00,NÃO,BAHIA
Unichampions,RODADA 5,JUNINHO,ZAGUEIRO,3.40,NÃO,BAHIA
Unichampions,RODADA 5,ERNANDO,ZAGUEIRO,0.20,NÃO,BAHIA
Unichampions,RODADA 5,JORGINHO,MEIA,3.90,NÃO,ATLÉTICO GOIANIENSE
Unichampions,RODADA 5,ALISON,MEIA,-0.60,NÃO,SANTOS
Unichampions,RODADA 5,GUSTAVO FERRAREIS,MEIA,2.50,NÃO,ATLÉTICO GOIANIENSE
Unichampions,RODADA 5,GREGORE,MEIA,-4.40,SIM,BAHIA
Unichampions,RODADA 5,PABLO,ATACANTE,7.20,NÃO,SÃO PAULO
Unichampions,RODADA 5,GILBERTO,ATACANTE,-1.10,NÃO,BAHIA
Unichampions,RODADA 5,ROGER MACHADO,TÉCNICO,1.74,NÃO,BAHIA
Unichampions,RODADA 4,FERNANDO MIGUEL,GOLEIRO,3.90,NÃO,VASCO
Unichampions,RODADA 4,TINGA,LATERAL,6.10,NÃO,FORTALEZA
Unichampions,RODADA 4,HENRIQUE,LATERAL,5.30,NÃO,VASCO
Unichampions,RODADA 4,GIL,ZAGUEIRO,-0.40,NÃO,CORINTHIANS
Unichampions,RODADA 4,DANILO AVELAR,ZAGUEIRO,2.50,NÃO,CORINTHIANS
Unichampions,RODADA 4,IGOR GOMES,MEIA,-0.20,NÃO,SÃO PAULO
Unichampions,RODADA 4,FELIPE,MEIA,3.60,NÃO,FORTALEZA
Unichampions,RODADA 4,PATRICK DE PAULA,MEIA,2.50,NÃO,PALMEIRAS
Unichampions,RODADA 4,HYORAN,MEIA,2.40,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 4,JÔ,ATACANTE,14.20,SIM,CORINTHIANS
Unichampions,RODADA 4,LUIZ ADRIANO,ATACANTE,1.60,NÃO,PALMEIRAS
Unichampions,RODADA 4,TIAGO NUNES,TÉCNICO,5.52,NÃO,CORINTHIANS
Unichampions,RODADA 3,JEAN,GOLEIRO,4.60,NÃO,ATLÉTICO GOIANIENSE
Unichampions,RODADA 3,OREJUELA,LATERAL,5.40,NÃO,GRÊMIO
Unichampions,RODADA 3,MARCOS ROCHA,LATERAL,3.70,NÃO,PALMEIRAS
Unichampions,RODADA 3,THIAGO HELENO,ZAGUEIRO,1.30,NÃO,ATHLÉTICO PARANAENSE
Unichampions,RODADA 3,RÉVER,ZAGUEIRO,5.00,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 3,BOSCHILIA,MEIA,-2.60,NÃO,INTERNACIONAL
Unichampions,RODADA 3,ALLAN,MEIA,3.10,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 3,BRUNO NAZÁRIO,MEIA,0.10,NÃO,BOTAFOGO
Unichampions,RODADA 3,FLÁVIO,MEIA,0.00,NÃO,BAHIA
Unichampions,RODADA 3,GABRIEL,ATACANTE,3.70,NÃO,FLAMENGO
Unichampions,RODADA 3,ÉLBER,ATACANTE,18.60,SIM,BAHIA
Unichampions,RODADA 3,RENATO GAÚCHO,TÉCNICO,5.15,NÃO,GRÊMIO
Unichampions,RODADA 2,FERNANDO MIGUEL,GOLEIRO,7.80,NÃO,VASCO
Unichampions,RODADA 2,VICTOR LUIS,LATERAL,2.80,NÃO,BOTAFOGO
Unichampions,RODADA 2,RAFINHA,LATERAL,-0.90,NÃO,
Unichampions,RODADA 2,JÚNIOR ALONSO,ZAGUEIRO,5.10,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 2,JUNINHO,ZAGUEIRO,5.90,NÃO,BAHIA
Unichampions,RODADA 2,EVERTON RIBEIRO,MEIA,-0.70,NÃO,FLAMENGO
Unichampions,RODADA 2,IGOR GOMES,MEIA,-4.20,SIM,SÃO PAULO
Unichampions,RODADA 2,ALLAN,MEIA,1.40,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 2,NATHAN,MEIA,10.20,NÃO,ATLÉTICO MINEIRO
Unichampions,RODADA 2,CANO,ATACANTE,1.90,NÃO,VASCO
Unichampions,RODADA 2,GABRIEL,ATACANTE,2.90,NÃO,FLAMENGO
Unichampions,RODADA 2,FERNANDO DINIZ,TÉCNICO,5.41,NÃO,SÃO PAULO
Unichampions,RODADA 1,VLADIMIR,GOLEIRO,1.20,NÃO,SANTOS
Unichampions,RODADA 1,FILIPE LUÍS,LATERAL,-4.70,NÃO,FLAMENGO
Unichampions,RODADA 1,PARÁ,LATERAL,4.20,NÃO,SANTOS
Unichampions,RODADA 1,PEDRO GEROMEL,ZAGUEIRO,8.30,NÃO,GRÊMIO
Unichampions,RODADA 1,LÉO PEREIRA,ZAGUEIRO,-0.60,NÃO,FLAMENGO
Unichampions,RODADA 1,VITOR BUENO,MEIA,0.00,NÃO,SÃO PAULO
Unichampions,RODADA 1,IGOR GOMES,MEIA,0.00,SIM,SÃO PAULO
Unichampions,RODADA 1,WILLIAN ARÃO,MEIA,5.20,NÃO,FLAMENGO
Unichampions,RODADA 1,DANIEL ALVES,MEIA,0.00,NÃO,SÃO PAULO
Unichampions,RODADA 1,SOTELDO,ATACANTE,0.30,NÃO,SANTOS
Unichampions,RODADA 1,GABRIEL,ATACANTE,3.00,NÃO,FLAMENGO
Unichampions,RODADA 1,DORIVAL JÚNIOR,TÉCNICO,6.31,NÃO,ATHLÉTICO PARANAENSE
